datetime,storage (acre-feet),release volume (acre-feet),pool elevation (feet),total release (cfs),Powell total release (cfs),Powell release volume (acre-feet),T_max (degrees f),T_min(degrees f),precipitation (inches),snow (inches),snow depth (inches)
1970-02-19,16874000,21026.7769,1153.51001,10601,7890,15649.5868,58,43,0,0,0
1970-02-20,16869000,21607.9339,1153.45996,10894,8150,16165.2893,63,41,0,0,0
1970-02-21,16869000,13828.7603,1153.45996,6972,6060,12019.8347,55,44,0.41,0,0
1970-02-22,16878000,10655.2066,1153.54004,5372,3950,7834.71074,58,36,0,0,0
1970-02-23,16878000,19021.4876,1153.54004,9590,4470,8866.1157,63,36,0,0,0
1970-02-24,16871000,20465.4546,1153.47998,10318,8150,16165.2893,65,40,0,0,0
1970-02-25,16862000,19400.3306,1153.40002,9781,6970,13824.7934,68,39,0,0,0
1970-02-26,16852000,19634.3802,1153.31006,9899,6910,13705.7851,70,41,0,0,0
1970-02-27,16846000,23111.405,1153.26001,11652,7200,14280.9917,73,46,0,0,0
1970-02-28,16853000,14640,1153.31995,7381,6370,12634.7107,65,47,0.35,0,0
1970-03-01,16854000,10147.438,1153.32996,5116,6030,11960.3306,60,47,0.06,0,0
1970-03-02,16847000,25616.5289,1153.27002,12915,6940,13765.2893,61,46,0,0,0
1970-03-03,16836000,30142.8099,1153.17004,15197,5270,10452.8926,62,39,0,0,0
1970-03-04,16816000,32130.2479,1153,16199,4300,8528.92562,61,37,0.01,0,0
1970-03-05,16807000,30662.4793,1152.92004,15459,4860,9639.66942,61,43,0.2,0,0
1970-03-06,16788000,29422.8099,1152.75,14834,4710,9342.14876,65,41,0,0,0
1970-03-07,16778000,21524.6281,1152.66003,10852,4400,8727.27273,67,38,0,0,0
1970-03-08,16772000,11785.7851,1152.60999,5942,4230,8390.08264,71,46,0,0,0
1970-03-09,16764000,20979.1736,1152.54004,10577,7690,15252.8926,68,43,0,0,0
1970-03-10,16753000,25190.0826,1152.43994,12700,9960,19755.3719,57,40,0.01,0,0
1970-03-11,16737000,25884.2975,1152.30005,13050,9890,19616.5289,60,37,0,0,0
1970-03-12,16727000,27748.7603,1152.20996,13990,9430,18704.1322,67,40,0,0,0
1970-03-13,16720000,25920,1152.15002,13068,8910,17672.7273,70,42,0,0,0
1970-03-14,16726000,13317.0248,1152.19995,6714,6490,12872.7273,75,44,0,0,0
1970-03-15,16731000,10393.3884,1152.25,5240,5760,11424.7934,72,54,0,0,0
1970-03-16,16724000,27798.3471,1152.18994,14015,7660,15193.3884,71,52,0,0,0
1970-03-17,16711000,26171.9008,1152.06995,13195,9290,18426.4463,69,46,0,0,0
1970-03-18,16694000,27619.8347,1151.92004,13925,10200,20231.405,57,43,0,0,0
1970-03-19,16679000,29099.5041,1151.79004,14671,10600,21024.7934,59,33,0,0,0
1970-03-20,16667000,29890.9091,1151.68005,15070,9010,17871.0744,62,38,0,0,0
1970-03-21,16667000,20743.1405,1151.68005,10458,8190,16244.6281,73,37,0,0,0
1970-03-22,16671000,14634.0496,1151.71997,7378,7920,15709.0909,75,43,0,0,0
1970-03-23,16662000,28528.2645,1151.64001,14383,9260,18366.9422,78,43,0,0,0
1970-03-24,16652000,29115.3719,1151.55005,14679,9750,19338.843,83,47,0,0,0
1970-03-25,16635000,29793.719,1151.40002,15021,8980,17811.5703,69,46,0,0,0
1970-03-26,16624000,30618.843,1151.30005,15437,8600,17057.8512,79,39,0,0,0
1970-03-27,16612000,29012.2314,1151.18994,14627,10500,20826.4463,68,48,0,0,0
1970-03-28,16615000,15304.4628,1151.21997,7716,8700,17256.1984,71,38,0,0,0
1970-03-29,16617000,11008.2645,1151.23999,5550,7960,15788.4298,67,48,0,0,0
1970-03-30,16611000,31303.1405,1151.18005,15782,8910,17672.7273,58,41,0,0,0
1970-03-31,16597000,31315.0413,1151.06006,15788,10700,21223.1405,64,45,0,0,0
1970-04-01,16579000,30355.0413,1150.90002,15304,12700,25190.0826,62,43,0,0,0
1970-04-02,16569000,29240.3306,1150.81006,14742,14400,28561.9835,73,36,0,0,0
1970-04-03,16561000,32253.2231,1150.73999,16261,15700,31140.4959,71,45,0,0,0
1970-04-04,16558000,21264.7934,1150.70996,10721,16400,32528.9256,69,38,0,0,0
1970-04-05,16584000,10157.3554,1150.93994,5121,15000,29752.0661,78,38,0,0,0
1970-04-06,16589000,26850.2479,1150.98999,13537,16800,33322.3141,82,41,0,0,0
1970-04-07,16588000,29020.1653,1150.97998,14631,16000,31735.5372,80,55,0,0,0
1970-04-08,16589000,33034.7107,1150.98999,16655,15000,29752.0661,80,48,0,0,0
1970-04-09,16583000,37037.3554,1150.93005,18673,16500,32727.2727,82,50,0,0,0
1970-04-10,16577000,35159.0083,1150.88,17726,15200,30148.7603,89,51,0,0,0
1970-04-11,16585000,28510.4132,1150.94995,14374,17000,33719.0083,81,60,0,0,0
1970-04-12,16589000,21679.3388,1150.98999,10930,14100,27966.9422,69,51,0,0,0
1970-04-13,16578000,37311.0744,1150.89001,18811,14300,28363.6364,75,42,0,0,0
1970-04-14,16572000,37283.3058,1150.83997,18797,15400,30545.4546,64,42,0,0,0
1970-04-15,16564000,37802.9752,1150.76001,19059,16000,31735.5372,68,40,0,0,0
1970-04-16,16551000,38550.7438,1150.65002,19436,17700,35107.438,67,43,0,0,0
1970-04-17,16546000,38830.4132,1150.59998,19577,17100,33917.3554,65,51,0.01,0,0
1970-04-18,16556000,28268.4298,1150.68994,14252,14500,28760.3306,74,48,0,0,0
1970-04-19,16572000,16887.2727,1150.83997,8514,11100,22016.5289,79,53,0,0,0
1970-04-20,16566000,35896.8595,1150.78003,18098,14200,28165.2893,66,49,0,0,0
1970-04-21,16546000,38788.7603,1150.59998,19556,13400,26578.5124,62,44,0,0,0
1970-04-22,16537000,38735.2066,1150.52002,19529,15900,31537.1901,65,39,0,0,0
1970-04-23,16525000,36245.9504,1150.42004,18274,18500,36694.2149,70,39,0,0,0
1970-04-24,16522000,34012.562,1150.39001,17148,20100,39867.7686,77,41,0,0,0
1970-04-25,16530000,27106.1157,1150.45996,13666,17100,33917.3554,85,49,0,0,0
1970-04-26,16551000,10314.0496,1150.65002,5200,15400,30545.4546,80,56,0,0,0
1970-04-27,16562000,27088.2645,1150.75,13657,17300,34314.0496,59,41,0,0,0
1970-04-28,16558000,35777.8512,1150.70996,18038,18400,36495.8678,55,40,0.03,0,0
1970-04-29,16561000,34702.8099,1150.73999,17496,16700,33123.9669,66,35,0,0,0
1970-04-30,16568000,30642.6446,1150.80005,15449,17100,33917.3554,73,40,0,0,0
1970-05-01,16570000,31533.2231,1150.81995,15898,16400,32528.9256,75,45,0,0,0
1970-05-02,16588000,13908.0992,1150.97998,7012,13000,25785.124,79,45,0,0,0
1970-05-03,16612000,9211.23967,1151.18994,4644,11100,22016.5289,87,49,0,0,0
1970-05-04,16611000,29841.3223,1151.18005,15045,14800,29355.3719,90,52,0,0,0
1970-05-05,16601000,34492.562,1151.08997,17390,14100,27966.9422,90,60,0,0,0
1970-05-06,16585000,34661.157,1150.94995,17475,14700,29157.0248,85,57,0,0,0
1970-05-07,16583000,34316.0331,1150.93005,17301,14600,28958.6777,78,53,0,0,0
1970-05-08,16581000,30573.2231,1150.92004,15414,14300,28363.6364,85,54,0,0,0
1970-05-09,16596000,14997.0248,1151.05005,7561,12900,25586.7769,89,56,0,0,0
1970-05-10,16612000,10922.9752,1151.18994,5507,11000,21818.1818,86,63,0,0,0
1970-05-11,16602000,33363.9669,1151.09998,16821,14000,27768.595,85,54,0,0,0
1970-05-12,16598000,33032.7273,1151.06995,16654,15100,29950.4132,83,61,0,0,0
1970-05-13,16588000,34754.3802,1150.97998,17522,15300,30347.1074,90,57,0,0,0
1970-05-14,16577000,38257.1901,1150.88,19288,15800,31338.843,85,67,0,0,0
1970-05-15,16571000,36285.6198,1150.82996,18294,16300,32330.5785,89,64,0,0,0
1970-05-16,16574000,30910.4132,1150.84998,15584,15500,30743.8017,100,60,0,0,0
1970-05-17,16584000,22690.9091,1150.93994,11440,13900,27570.2479,102,63,0,0,0
1970-05-18,16577000,35980.1653,1150.88,18140,17000,33719.0083,101,72,0,0,0
1970-05-19,16569000,36450.2479,1150.81006,18377,16200,32132.2314,92,71,0,0,0
1970-05-20,16568000,34573.8843,1150.80005,17431,17900,35504.1322,88,67,0,0,0
1970-05-21,16566000,35674.7107,1150.78003,17986,17100,33917.3554,90,58,0,0,0
1970-05-22,16562000,40060.1653,1150.75,20197,17100,33917.3554,93,61,0,0,0
1970-05-23,16572000,22244.6281,1150.83997,11215,15600,30942.1488,99,64,0,0,0
1970-05-24,16589000,18846.9422,1150.98999,9502,14800,29355.3719,88,71,0,0,0
1970-05-25,16584000,38338.5124,1150.93994,19329,17900,35504.1322,92,63,0,0,0
1970-05-26,16575000,38673.719,1150.85999,19498,16700,33123.9669,93,64,0,0,0
1970-05-27,16567000,41113.3884,1150.79004,20728,14400,28561.9835,96,66,0,0,0
1970-05-28,16559000,42325.2893,1150.71997,21339,15300,30347.1074,93,67,0,0,0
1970-05-29,16553000,35331.5703,1150.67004,17813,12600,24991.7355,94,64,0,0,0
1970-05-30,16566000,15885.6198,1150.78003,8009,9270,18386.7769,98,65,0,0,0
1970-05-31,16576000,17752.0661,1150.87,8950,8830,17514.0496,91,67,0,0,0
1970-06-01,16566000,31471.7355,1150.78003,15867,10900,21619.8347,94,62,0,0,0
1970-06-02,16553000,31670.0826,1150.67004,15967,15200,30148.7603,100,61,0,0,0
1970-06-03,16542000,31207.9339,1150.56995,15734,13800,27371.9008,104,64,0,0,0
1970-06-04,16542000,29406.9422,1150.56995,14826,15100,29950.4132,105,69,0,0,0
1970-06-05,16540000,24604.9587,1150.55005,12405,15100,29950.4132,99,72,0,0,0
1970-06-06,16551000,23787.7686,1150.65002,11993,12000,23801.6529,98,73,0,0,0
1970-06-07,16567000,11635.0413,1150.79004,5866,9220,18287.6033,96,68,0.18,0,0
1970-06-08,16561000,29065.7851,1150.73999,14654,11600,23008.2645,95,66,0,0,0
1970-06-09,16553000,28966.6116,1150.67004,14604,12200,24198.3471,90,67,0,0,0
1970-06-10,16546000,29962.3141,1150.59998,15106,13600,26975.2066,88,63,0,0,0
1970-06-11,16537000,30549.4215,1150.52002,15402,12900,25586.7769,85,61,0,0,0
1970-06-12,16532000,26437.686,1150.47998,13329,14800,29355.3719,89,63,0,0,0
1970-06-13,16540000,15990.7438,1150.55005,8062,12600,24991.7355,80,58,0,0,0
1970-06-14,16558000,7923.96694,1150.70996,3995,9330,18505.7851,88,58,0,0,0
1970-06-15,16560000,25469.7521,1150.72998,12841,11900,23603.3058,90,61,0,0,0
1970-06-16,16552000,30362.9752,1150.66003,15308,13200,26181.8182,95,62,0,0,0
1970-06-17,16544000,27425.4546,1150.58997,13827,14200,28165.2893,97,66,0,0,0
1970-06-18,16541000,29510.0826,1150.56006,14878,15300,30347.1074,99,65,0,0,0
1970-06-19,16542000,25904.1322,1150.56995,13060,15200,30148.7603,104,68,0,0,0
1970-06-20,16551000,20336.5289,1150.65002,10253,14000,27768.595,106,72,0,0,0
1970-06-21,16564000,15978.843,1150.76001,8056,12000,23801.6529,110,73,0,0,0
1970-06-22,16566000,26080.6612,1150.78003,13149,16500,32727.2727,108,79,0,0,0
1970-06-23,16562000,29289.9174,1150.75,14767,15000,29752.0661,109,76,0,0,0
1970-06-24,16561000,33736.8595,1150.73999,17009,13900,27570.2479,109,74,0,0,0
1970-06-25,16559000,32003.3058,1150.71997,16135,15000,29752.0661,115,78,0,0,0
1970-06-26,16550000,34393.3884,1150.64001,17340,15400,30545.4546,114,84,0,0,0
1970-06-27,16557000,22337.8512,1150.69995,11262,14600,28958.6777,101,80,0,0,0
1970-06-28,16566000,12573.2231,1150.78003,6339,11500,22809.9174,103,75,0,0,0
1970-06-29,16567000,31553.0579,1150.79004,15908,13800,27371.9008,91,68,0,0,0
1970-06-30,16560000,30571.2397,1150.72998,15413,13500,26776.8595,95,60,0,0,0
1970-07-01,16556000,27141.8182,1150.68994,13684,12000,23801.6529,102,62,0,0,0
1970-07-02,16551000,30394.7107,1150.65002,15324,16000,31735.5372,106,67,0,0,0
1970-07-03,16556000,27306.4463,1150.68994,13767,17900,35504.1322,109,74,0,0,0
1970-07-04,16574000,11071.7355,1150.84998,5582,14400,28561.9835,108,85,0,0,0
1970-07-05,16594000,13981.4876,1151.03003,7049,12700,25190.0826,107,81,0,0,0
1970-07-06,16593000,28395.3719,1151.02002,14316,16000,31735.5372,104,85,0,0,0
1970-07-07,16588000,32193.719,1150.97998,16231,12800,25388.4298,107,82,0,0,0
1970-07-08,16584000,31247.6033,1150.93994,15754,12200,24198.3471,100,82,0,0,0
1970-07-09,16590000,28038.3471,1151,14136,12900,25586.7769,100,77,0,0,0
1970-07-10,16583000,26344.4628,1150.93005,13282,10900,21619.8347,96,72,0,0,0
1970-07-11,16588000,20772.8926,1150.97998,10473,10000,19834.7107,101,78,0,0,0
1970-07-12,16599000,11008.2645,1151.07996,5550,7990,15847.9339,107,74,0,0,0
1970-07-13,16591000,30359.0083,1151.01001,15306,10800,21421.4876,111,75,0,0,0
1970-07-14,16587000,24660.4959,1150.96997,12433,12600,24991.7355,112,81,0,0,0
1970-07-15,16569000,33998.6777,1150.81006,17141,15000,29752.0661,110,82,0,0,0
1970-07-16,16562000,30057.5207,1150.75,15154,15900,31537.1901,113,84,0,0,0
1970-07-17,16561000,32887.9339,1150.73999,16581,16200,32132.2314,106,82,0,0,0
1970-07-18,16568000,21058.5124,1150.80005,10617,14600,28958.6777,111,82,0.01,0,0
1970-07-19,16585000,14989.0909,1150.94995,7557,13300,26380.1653,111,83,0,0,0
1970-07-20,16583000,30638.6777,1150.93005,15447,10400,20628.0992,109,85,0.04,0,0
1970-07-21,16578000,31213.8843,1150.89001,15737,10100,20033.0579,102,81,0,0,0
1970-07-22,16572000,30061.4876,1150.83997,15156,10400,20628.0992,105,76,0,0,0
1970-07-23,16570000,28587.7686,1150.81995,14413,11600,23008.2645,105,77,0,0,0
1970-07-24,16565000,28450.9091,1150.77002,14344,11700,23206.6116,100,76,0,0,0
1970-07-25,16564000,19190.0826,1150.76001,9675,10200,20231.405,95,71,0.53,0,0
1970-07-26,16577000,9596.03306,1150.88,4838,8890,17633.0579,98,67,0,0,0
1970-07-27,16574000,25912.0661,1150.84998,13064,10700,21223.1405,102,73,0,0,0
1970-07-28,16560000,26235.3719,1150.72998,13227,11400,22611.5703,103,74,0,0,0
1970-07-29,16560000,27562.3141,1150.72998,13896,10800,21421.4876,104,77,0,0,0
1970-07-30,16547000,31247.6033,1150.60999,15754,13300,26380.1653,104,77,0,0,0
1970-07-31,16538000,27845.9504,1150.53003,14039,13800,27371.9008,106,72,0,0,0
1970-08-01,16539000,19791.0744,1150.54004,9978,13000,25785.124,108,75,0,0,0
1970-08-02,16548000,10195.0413,1150.62,5140,9120,18089.2562,108,77,0,0,0
1970-08-03,16548000,31753.3884,1150.62,16009,12000,23801.6529,102,80,0,0,0
1970-08-04,16549000,26760.9917,1150.63,13492,11800,23404.9587,82,67,0.89,0,0
1970-08-05,16541000,28258.5124,1150.56006,14247,11900,23603.3058,96,72,0,0,0
1970-08-06,16539000,28304.1322,1150.54004,14270,12000,23801.6529,103,78,0,0,0
1970-08-07,16531000,31146.4463,1150.46997,15703,14300,28363.6364,108,80,0,0,0
1970-08-08,16531000,20524.9587,1150.46997,10348,12500,24793.3884,109,83,0,0,0
1970-08-09,16540000,15653.5537,1150.55005,7892,8530,16919.0083,108,76,0,0,0
1970-08-10,16541000,26106.4463,1150.56006,13162,11100,22016.5289,110,79,0,0,0
1970-08-11,16536000,22290.2479,1150.51001,11238,12800,25388.4298,111,82,0,0,0
1970-08-12,16525000,26437.686,1150.42004,13329,11500,22809.9174,108,79,0,0,0
1970-08-13,16530000,24232.0661,1150.45996,12217,11200,22214.876,107,79,0.53,0,0
1970-08-14,16531000,24563.3058,1150.46997,12384,12200,24198.3471,98,73,0.37,0,0
1970-08-15,16533000,17658.843,1150.48999,8903,8530,16919.0083,95,76,0,0,0
1970-08-16,16547000,12638.6777,1150.60999,6372,6810,13507.438,98,76,0,0,0
1970-08-17,16539000,26963.3058,1150.54004,13594,10200,20231.405,95,76,0,0,0
1970-08-18,16534000,25862.4793,1150.5,13039,12100,24000,100,75,0,0,0
1970-08-19,16524000,24900.4959,1150.41003,12554,12800,25388.4298,90,73,0,0,0
1970-08-20,16522000,26538.843,1150.39001,13380,14200,28165.2893,99,73,0,0,0
1970-08-21,16527000,22141.4876,1150.43005,11163,14000,27768.595,100,75,0,0,0
1970-08-22,16542000,13747.438,1150.56995,6931,12300,24396.6942,102,75,0,0,0
1970-08-23,16558000,12289.5868,1150.70996,6196,8360,16581.8182,103,76,0,0,0
1970-08-24,16558000,24678.3471,1150.70996,12442,15300,30347.1074,104,75,0,0,0
1970-08-25,16559000,20866.1157,1150.71997,10520,18200,36099.1736,100,79,0,0,0
1970-08-26,16558000,23393.0579,1150.70996,11794,18900,37487.6033,98,79,0,0,0
1970-08-27,16570000,22454.876,1150.81995,11321,18100,35900.8265,96,78,0,0,0
1970-08-28,16580000,23849.2562,1150.91003,12024,15200,30148.7603,100,75,0,0,0
1970-08-29,16599000,10593.719,1151.07996,5341,14500,28760.3306,97,76,0,0,0
1970-08-30,16622000,9929.2562,1151.28003,5006,11600,23008.2645,101,73,0,0,0
1970-08-31,16628000,22238.6777,1151.32996,11212,14600,28958.6777,104,75,0,0,0
1970-09-01,16628000,24097.1901,1151.32996,12149,14700,29157.0248,102,76,0,0,0
1970-09-02,16626000,22885.2893,1151.31995,11538,15000,29752.0661,101,74,0,0,0
1970-09-03,16629000,23137.1901,1151.33997,11665,14100,27966.9422,101,69,0,0,0
1970-09-04,16626000,21917.3554,1151.31995,11050,11200,22214.876,96,74,0,0,0
1970-09-05,16642000,12634.7107,1151.45996,6370,7590,15054.5455,80,61,0,0,0
1970-09-06,16655000,7923.96694,1151.56995,3995,6910,13705.7851,84,54,0,0,0
1970-09-07,16664000,12275.7025,1151.65002,6189,7530,14935.5372,92,60,0,0,0
1970-09-08,16659000,20927.6033,1151.60999,10551,10700,21223.1405,100,64,0,0,0
1970-09-09,16659000,21469.0909,1151.60999,10824,12100,24000,100,68,0,0,0
1970-09-10,16658000,22056.1984,1151.59998,11120,13600,26975.2066,102,70,0,0,0
1970-09-11,16667000,19993.3884,1151.68005,10080,14700,29157.0248,104,72,0,0,0
1970-09-12,16688000,10915.0413,1151.87,5503,10400,20628.0992,100,75,0,0,0
1970-09-13,16705000,9615.86777,1152.02002,4848,6910,13705.7851,93,72,0,0,0
1970-09-14,16706000,19596.6942,1152.03003,9880,11700,23206.6116,85,62,0,0,0
1970-09-15,16705000,13747.438,1152.02002,6931,10400,20628.0992,87,53,0,0,0
1970-09-16,16698000,18505.7851,1151.95996,9330,10600,21024.7934,88,55,0,0,0
1970-09-17,16697000,23073.719,1151.94995,11633,10400,20628.0992,91,57,0,0,0
1970-09-18,16698000,17635.0413,1151.95996,8891,11600,23008.2645,96,58,0,0,0
1970-09-19,16700000,13443.9669,1151.96997,6778,11800,23404.9587,95,70,0,0,0
1970-09-20,16711000,10020.4959,1152.06995,5052,9610,19061.157,87,67,0,0,0
1970-09-21,16712000,19892.2314,1152.07996,10029,12200,24198.3471,87,59,0,0,0
1970-09-22,16715000,15231.0744,1152.10999,7679,12700,25190.0826,82,60,0,0,0
1970-09-23,16719000,15469.0909,1152.14001,7799,14100,27966.9422,87,53,0,0,0
1970-09-24,16728000,17226.4463,1152.21997,8685,14000,27768.595,91,55,0,0,0
1970-09-25,16726000,17004.2975,1152.19995,8573,14000,27768.595,79,59,0,0,0
1970-09-26,16739000,10214.876,1152.31995,5150,13800,27371.9008,84,51,0,0,0
1970-09-27,16754000,9248.92562,1152.44995,4663,8770,17395.0413,89,54,0,0,0
1970-09-28,16763000,14975.2066,1152.53003,7550,13000,25785.124,91,58,0,0,0
1970-09-29,16770000,15766.6116,1152.58997,7949,15700,31140.4959,85,61,0,0,0
1970-09-30,16769000,21304.4628,1152.57996,10741,13600,26975.2066,91,60,0,0,0
1970-10-01,16782000,16972.562,1152.69995,8557,11200,22214.876,93,59,0,0,0
1970-10-02,16785000,22585.7851,1152.71997,11387,9290,18426.4463,87,64,0,0,0
1970-10-03,16791000,15143.8017,1152.78003,7635,7070,14023.1405,83,64,0,0,0
1970-10-04,16801000,10542.1488,1152.87,5315,6180,12257.8512,84,59,0,0,0
1970-10-05,16804000,12565.2893,1152.89001,6335,7360,14598.3471,90,60,0,0,0
1970-10-06,16794000,20913.719,1152.80005,10544,7560,14995.0413,87,69,0,0,0
1970-10-07,16782000,21328.2645,1152.69995,10753,7860,15590.0826,70,54,0,0,0
1970-10-08,16765000,28946.7769,1152.55005,14594,7160,14201.6529,71,43,0,0,0
1970-10-09,16755000,23490.2479,1152.45996,11843,7720,15312.3967,82,47,0,0,0
1970-10-10,16757000,14645.9504,1152.47998,7384,7820,15510.7438,86,59,0,0,0
1970-10-11,16757000,10155.3719,1152.47998,5120,7260,14400,79,51,0,0,0
1970-10-12,16755000,17137.1901,1152.45996,8640,9780,19398.3471,79,50,0,0,0
1970-10-13,16755000,15137.8512,1152.45996,7632,9360,18565.2893,82,52,0,0,0
1970-10-14,16747000,23482.3141,1152.39001,11839,10200,20231.405,82,53,0,0,0
1970-10-15,16736000,25729.5868,1152.29004,12972,9360,18565.2893,75,50,0,0,0
1970-10-16,16728000,25297.1901,1152.21997,12754,9080,18009.9174,76,45,0,0,0
1970-10-17,16731000,14229.4215,1152.25,7174,7230,14340.4959,78,46,0,0,0
1970-10-18,16741000,8358.34711,1152.33997,4214,4710,9342.14876,77,46,0,0,0
1970-10-19,16739000,19947.7686,1152.31995,10057,9120,18089.2562,82,58,0,0,0
1970-10-20,16722000,27282.6446,1152.17004,13755,9430,18704.1322,78,55,0,0,0
1970-10-21,16707000,23694.5455,1152.04004,11946,10300,20429.7521,70,56,0.02,0,0
1970-10-22,16705000,23865.124,1152.02002,12032,11600,23008.2645,72,56,0,0,0
1970-10-23,16700000,22567.9339,1151.96997,11378,10300,20429.7521,81,47,0,0,0
1970-10-24,16704000,14368.2645,1152.01001,7244,7130,14142.1488,73,51,0,0,0
1970-10-25,16714000,10028.4298,1152.09998,5056,4260,8449.58678,68,45,0,0,0
1970-10-26,16713000,16730.5785,1152.08997,8435,8050,15966.9422,64,42,0,0,0
1970-10-27,16704000,22107.7686,1152.01001,11146,6810,13507.438,59,38,0,0,0
1970-10-28,16689000,22161.3223,1151.88,11173,6300,12495.8678,63,32,0,0,0
1970-10-29,16683000,21877.686,1151.81995,11030,8190,16244.6281,71,35,0,0,0
1970-10-30,16676000,21306.4463,1151.76001,10742,7660,15193.3884,71,38,0,0,0
1970-10-31,16677000,10815.8678,1151.77002,5453,5790,11484.2975,74,44,0,0,0
1970-11-01,16685000,7648.26446,1151.83997,3856,3430,6803.30579,76,44,0,0,0
1970-11-02,16682000,18854.876,1151.81006,9506,6240,12376.8595,76,45,0,0,0
1970-11-03,16669000,23135.2066,1151.69995,11664,8150,16165.2893,68,43,0,0,0
1970-11-04,16655000,21841.9835,1151.56995,11012,6970,13824.7934,68,53,0,0,0
